accountAgeDays,numItems,localTime,paymentMethod,paymentMethodAgeDays,Category,isWeekend,label
2000,1,5.040929,creditcard,0.0,electronics,1.0,0
2000,1,4.886641,creditcard,0.0,food,0.0,0
2000,1,4.742303,paypal,0.0,shopping,0.0,0
2000,1,4.962055,creditcard,0.0,shopping,0.0,0
2000,1,4.836982,creditcard,0.0,shopping,1.0,0
2000,1,5.040929,creditcard,0.0,shopping,0.0,0
2000,1,4.962055,creditcard,0.0,electronics,0.0,0
2000,1,4.962055,creditcard,0.0,shopping,0.0,0
2000,1,4.742303,creditcard,0.0,food,1.0,0
2000,1,4.505662,creditcard,0.0,shopping,0.0,0
2000,1,4.962055,creditcard,0.0,electronics,0.0,0
4,1,4.921318,creditcard,0.0,shopping,0.0,0
2000,1,4.921318,creditcard,0.0,food,1.0,0
2000,1,5.017904,creditcard,0.0,electronics,1.0,0
6,1,4.461622,creditcard,0.0,shopping,1.0,0
2000,1,4.895263,creditcard,0.001388889,food,1.0,0
2000,1,4.876771,creditcard,0.0,electronics,1.0,0
1,1,4.836982,creditcard,0.0,electronics,,1
2000,1,5.040929,creditcard,0.0,shopping,1.0,0
2000,1,4.836982,creditcard,0.0,food,0.0,0
2000,1,4.876771,creditcard,0.0,electronics,1.0,0
2000,1,4.748314,creditcard,0.0,electronics,0.0,0
2000,1,4.836982,paypal,0.0,shopping,1.0,0
3,1,4.745402,creditcard,0.0,shopping,1.0,0
2000,1,4.745402,creditcard,0.0,shopping,0.0,0
2000,1,5.017904,creditcard,0.0,electronics,1.0,0
2000,1,5.034622,creditcard,0.0,electronics,1.0,0
2000,1,4.836982,creditcard,0.005555556,food,0.0,0
2000,1,4.876771,creditcard,0.0,food,0.0,0
2000,1,5.017904,creditcard,0.0,food,1.0,0
2000,1,4.962055,creditcard,0.0,shopping,0.0,0
1,1,4.965339,creditcard,0.0,shopping,,1
2000,1,5.040929,paypal,0.0,electronics,0.0,0
54,1,4.886641,creditcard,0.0,food,0.0,0
2000,1,5.034622,creditcard,0.0,electronics,1.0,0
898,1,4.962055,creditcard,0.0,shopping,0.0,0
2000,1,2.596228,creditcard,0.0,food,0.0,0
30,1,4.742303,creditcard,0.0,food,0.0,0
2000,1,4.965339,creditcard,0.0,food,1.0,0
2000,1,4.876771,creditcard,0.000694444,electronics,1.0,0
2000,1,4.742303,creditcard,0.0,shopping,0.0,0
2000,1,4.745402,creditcard,0.0,electronics,0.0,0
2000,1,5.040929,creditcard,0.0,shopping,1.0,0
2000,1,4.886641,creditcard,0.001388889,food,0.0,0
2000,1,3.954522,creditcard,0.0,food,1.0,0
2000,1,5.034622,creditcard,0.0,shopping,1.0,0
2000,1,5.034622,creditcard,0.0,shopping,1.0,0
2000,1,4.057414,creditcard,0.0,shopping,0.0,0
2000,1,4.965339,creditcard,0.0,shopping,1.0,0
2000,1,4.748314,creditcard,0.0,electronics,0.0,0
2000,1,5.017904,creditcard,0.0,shopping,1.0,0
2000,1,4.886641,creditcard,0.0,electronics,1.0,0
2000,1,5.017904,creditcard,0.0,shopping,1.0,0
2000,1,5.017904,creditcard,0.0,food,1.0,0
2000,1,4.057414,creditcard,0.0,food,1.0,0
2000,1,4.836982,creditcard,0.0,shopping,1.0,0
2000,1,4.742303,creditcard,0.0,food,1.0,0
14,1,4.748314,creditcard,0.0,food,0.0,0
2000,1,4.895263,creditcard,0.0,electronics,0.0,0
2000,1,5.017904,creditcard,0.0,electronics,0.0,0
2000,1,4.748314,creditcard,0.0,food,1.0,0
2000,1,4.876771,creditcard,0.0,food,0.0,0
2000,1,4.836982,creditcard,0.0,shopping,0.0,0
2000,1,5.040929,creditcard,0.0,electronics,1.0,0
2000,1,4.886641,paypal,0.0,shopping,1.0,0
2000,1,4.965339,creditcard,0.0,electronics,0.0,0
2000,1,4.921349,paypal,0.0,electronics,1.0,0
2000,1,4.748314,creditcard,0.0,shopping,1.0,0
9,1,5.034622,creditcard,0.0,shopping,0.0,0
2000,1,5.034622,creditcard,0.0,electronics,1.0,0
30,1,4.057414,creditcard,0.0,electronics,1.0,0
2000,1,4.965339,creditcard,0.0,electronics,1.0,0
2000,1,4.965339,paypal,0.0,food,1.0,0
2000,1,4.742303,creditcard,0.0,electronics,0.0,0
2000,1,4.745402,creditcard,0.0,food,1.0,0
2000,1,4.876771,creditcard,0.001388889,electronics,1.0,0
2000,1,4.921349,creditcard,0.0,shopping,1.0,0
2000,1,4.962055,creditcard,0.0,electronics,0.0,0
2000,1,4.921318,creditcard,0.0,electronics,0.0,0
2000,1,4.876771,creditcard,0.000694444,electronics,1.0,0
2000,1,4.876771,creditcard,0.0,food,0.0,0
2000,1,4.895263,paypal,0.0,shopping,0.0,0
2000,1,4.921318,creditcard,0.002777778,food,0.0,0
2000,1,4.748314,paypal,0.0,electronics,0.0,0
4,1,4.965339,paypal,0.0,food,1.0,0
2000,1,5.017904,creditcard,0.001388889,electronics,1.0,0
2000,1,4.876771,creditcard,0.0,food,1.0,0
2000,1,5.034622,creditcard,0.0,shopping,1.0,0
2000,1,4.742303,creditcard,0.0,electronics,0.0,0
1,1,4.748314,creditcard,0.0,food,,1
2000,1,4.742303,creditcard,0.0,shopping,1.0,0
2000,1,4.745402,creditcard,0.0,shopping,0.0,0
2000,1,5.040929,creditcard,0.0,shopping,0.0,0
2000,1,5.040929,paypal,0.0,electronics,1.0,0
2000,1,4.876771,paypal,0.0,food,1.0,0
1,1,3.066058,creditcard,0.0,shopping,,1
2000,1,5.034622,creditcard,0.0,electronics,0.0,0
2000,1,4.748314,creditcard,0.0,electronics,0.0,0
2000,1,4.505662,paypal,0.0,shopping,1.0,0
2,1,4.965339,creditcard,0.0,food,1.0,0
2000,1,4.962055,paypal,0.0,shopping,0.0,0
187,1,4.921318,creditcard,0.0,shopping,1.0,0
1,1,4.921318,creditcard,0.0,food,,1
2000,1,4.895263,creditcard,0.0,electronics,0.0,0
1,1,4.748314,paypal,0.0,food,,1
2000,1,4.921349,paypal,0.0,electronics,1.0,0
2000,1,4.895263,creditcard,0.0,electronics,0.0,0
2000,1,4.895263,creditcard,0.0,electronics,0.0,0
2000,1,4.886641,creditcard,0.0,shopping,1.0,0
2000,1,4.057414,creditcard,0.004861111,shopping,0.0,0
2000,1,4.748314,creditcard,0.0,shopping,1.0,0
464,2,4.921318,paypal,0.002083333,shopping,1.0,0
1,1,4.748314,creditcard,0.000694444,food,,1
2000,1,4.876771,creditcard,0.0,electronics,1.0,0
2000,1,4.965339,creditcard,0.0,food,1.0,0
2000,1,4.748314,paypal,0.0,shopping,0.0,0
2000,1,4.921318,creditcard,0.0,electronics,0.0,0
2,1,4.895263,creditcard,0.0,shopping,1.0,0
2,1,4.962055,creditcard,0.0,electronics,0.0,0
2000,1,3.954522,creditcard,0.0,shopping,0.0,0
2000,1,5.040929,creditcard,0.002777778,shopping,0.0,0
141,1,4.962055,creditcard,0.0,electronics,0.0,0
2,1,4.895263,creditcard,0.0,food,1.0,0
2000,1,4.921349,paypal,0.0,food,0.0,0
2000,1,4.962055,creditcard,0.0,electronics,0.0,0
2000,1,4.962055,creditcard,0.002083333,food,1.0,0
1,1,5.017904,creditcard,0.0,electronics,,1
2000,1,4.962055,paypal,0.0,food,0.0,0
2000,1,4.876771,paypal,0.0,shopping,0.0,0
2000,1,5.034622,paypal,0.0,shopping,1.0,0
8,1,5.040929,creditcard,0.0,shopping,0.0,0
114,1,4.921349,creditcard,0.0,electronics,0.0,0
2000,1,4.742303,creditcard,0.0,food,1.0,0
2000,1,4.745402,creditcard,0.0,electronics,1.0,0
2000,1,4.461622,creditcard,0.0,food,1.0,0
2000,1,4.886641,creditcard,0.0,electronics,0.0,0
2000,1,4.745402,creditcard,0.0,shopping,1.0,0
2000,1,4.748314,creditcard,0.0,shopping,1.0,0
2,1,4.895263,creditcard,0.0,food,1.0,0
2000,1,4.748314,creditcard,0.0,shopping,0.0,0
2000,1,4.962055,creditcard,0.0,food,1.0,0
2000,1,4.505662,creditcard,0.0,shopping,1.0,0
2000,1,4.745402,creditcard,0.000694444,electronics,1.0,0
2000,1,4.965339,paypal,0.0,electronics,0.0,0
